IdProduto,Quantidade,UltimaAtualizacao,CodEmpresa
P00002ES00,769,12/12/2025,002
P00002EWCU,2569,12/12/2025,002
P00002GA5L,2715,12/12/2025,002
P00002GD15,3724,12/12/2025,002
P00002H72U,680,11/12/2025,002
P00002K76T,-68,11/12/2025,002
P00002LY3G,5378,12/12/2025,002
P00002M16B,1842,11/12/2025,002
P00002MPIB,73,12/12/2025,002
P00002N14B,713,12/12/2025,002
P00002N7EE,499,12/12/2025,002
P00002OD04,442,11/12/2025,002
P00002OY1J,1029,12/12/2025,002
P00002P7NG,1182,12/12/2025,002
P00002Q11U,1981,12/12/2025,002
P00002Q496,939,12/12/2025,002
P00002Q729,1705,11/12/2025,002
P00002QVHL,531,12/12/2025,002
P00002SA5M,542,12/12/2025,002
P00002SS9G,571,12/12/2025,002
P00002XN2I,1188,12/12/2025,002
P00002XQ8W,2677,12/12/2025,002
P00002Y51M,20914,11/12/2025,002
P000031B69,396,11/12/2025,002
P000031E4Q,356,12/12/2025,002
P000032BCC,24,11/12/2025,002
P000032EEK,46,12/12/2025,002
P000033500,86,12/12/2025,002
P000034XEU,1492,12/12/2025,002
P00003569V,1521,12/12/2025,002
P00003660N,434,12/12/2025,002
P0000380E1,101,11/12/2025,002
P00003B64K,250,12/12/2025,002
P00003DY4B,19392,13/12/2025,002
P00003G4GS,714,11/12/2025,002
P00003GP3G,2767,12/12/2025,002
P00003H10D,153,12/12/2025,002
P00003H45C,514,12/12/2025,002
P00003H760,353,12/12/2025,002
P00003HA03,34,12/12/2025,002
P00003HD99,392,12/12/2025,002
P00003HG07,1279,12/12/2025,002
P00003HJ63,62,12/12/2025,002
P00003HM81,422,12/12/2025,002
P00003HPAP,520,12/12/2025,002
P00003I7B8,212,12/12/2025,002
P00003IP8V,27,12/12/2025,002
P00003L13Y,-72,11/12/2025,002
P00003L77A,-105,11/12/2025,002
P00003LM2Q,986,12/12/2025,002
P00003M74Y,152,12/12/2025,002
P00003MA4R,46,11/12/2025,002
P00003MDAN,145,12/12/2025,002
P00003MG4I,306,11/12/2025,002
P00003MMIT,-2,11/12/2025,002
P00003NV07,42.39,12/12/2025,002
P00003O4BD,175,11/12/2025,002
P00003PHF5,68,12/12/2025,002
P00003R8DU,187,12/12/2025,002
P00003RBO2,63,12/12/2025,002
P00003REEI,-19,12/12/2025,002
P00003RH2P,44,12/12/2025,002
P00003RZ0G,0,11/12/2025,002
P00003S5BO,32,11/12/2025,002
P00003THAJ,44,12/12/2025,002
P00003TN75,27,12/12/2025,002
P00003VB2T,30,12/12/2025,002
P00003XH00,20,12/12/2025,002
P00003XN0V,26,12/12/2025,002
P00003XW9Q,287,12/12/2025,002
P00003YEE2,9,12/12/2025,002
P00003YHCS,24,12/12/2025,002
P000040E57,156,12/12/2025,002
P000040Z5D,6,12/12/2025,002
P000043IB6,342,12/12/2025,002
P000043OH6,4163,12/12/2025,002
P000043R4B,2437,12/12/2025,002
P000044LCE,747,12/12/2025,002
P000048G0X,-626,12/12/2025,002
P000048MQ1,1,12/12/2025,002
P000048PKR,28,12/12/2025,002
P00004915F,32,11/12/2025,002
P00004C75V,-64,12/12/2025,002
P00004CA5L,165,12/12/2025,002
P00004CM9V,-69,12/12/2025,002
P00004E14Z,1474,11/12/2025,002
P00004G7M7,59,11/12/2025,002
P00004GVJ8,360,12/12/2025,002
P00004KM16,-1,12/12/2025,002
P00004KPH0,1,11/12/2025,002
P00004NUP4,66,12/12/2025,002
P00004OFDQ,4,11/12/2025,002
P00004PC2F,21,11/12/2025,002
P00004PF32,65,12/12/2025,002
P00004PR7B,11,11/12/2025,002
P00004PUL5,325,12/12/2025,002
P00004QF07,642,11/12/2025,002
P00004S64K,288,11/12/2025,002
P00004Y42Q,124,11/12/2025,002
P00004ZV0N,9367,12/12/2025,002
P00004ZY0B,22910,12/12/2025,002
P000050VCM,569,11/12/2025,002
P00005974O,314,11/12/2025,002
P00005FJ41,7239,12/12/2025,002
P00005FSM1,301,11/12/2025,002
P00005FY7W,122,11/12/2025,002
P00005G13W,342,12/12/2025,002
P00005G79Y,79,11/12/2025,002
P00005GA4P,26,12/12/2025,002
P0000A4A3B,111,12/12/2025,002
P0000A5T24,16,12/12/2025,002
P0000AM44B,72,11/12/2025,002
P0000CZL3U,1207,11/12/2025,002
P0000D3X7F,54,12/12/2025,002
P0000D6L8J,903,11/12/2025,002
P0000D6O2J,424,11/12/2025,002
P0000D9U6X,669.999743,11/12/2025,002
P0000DFE6S,-26,12/12/2025,002
P0000DFK47,-20,11/12/2025,002
P0000DGSHQ,44,11/12/2025,002
P0000DH8BF,-135,11/12/2025,002
P0000DHB4V,-119,11/12/2025,002
P0000DHE3S,-73,12/12/2025,002
P0000DHH0Q,-27,11/12/2025,002
P0000DHN50,-6,12/12/2025,002
P0000E109M,93,11/12/2025,002
P0000E2IPV,-19,12/12/2025,002
P0000E327H,47,12/12/2025,002
P0000E4V2H,1648,12/12/2025,002
P0000E4Y2B,6486,11/12/2025,002
P0000E9800,136,12/12/2025,002
P0000E9D3Z,0,12/12/2025,002
P0000KX51W,180,12/12/2025,002
P0000LAS51,185,12/12/2025,002
P0000LAY9D,130,12/12/2025,002
P0000LHREB,119,12/12/2025,002
P0000LJ5F3,65,12/12/2025,002
P0000LJO1I,19,12/12/2025,002
P0000O3A68,13,11/12/2025,002
P0000OGD3J,57,12/12/2025,002
P0000OJM80,96,12/12/2025,002
P0000OWX8P,69,12/12/2025,002
P0000OZ051,59,11/12/2025,002
P0000P3E9K,77,12/12/2025,002
P0000P7Y0P,24,12/12/2025,002
P0000PT1T4,6,12/12/2025,002
P0000QHG13,28,12/12/2025,002
P0000QL803,38,12/12/2025,002
P0000QOBL4,60,11/12/2025,002
P0000QR91C,17,12/12/2025,002
P0000QRHPK,52,12/12/2025,002
P0000QYLBV,9,12/12/2025,002
P0000R7KK6,126,12/12/2025,002
P0000RIQAM,4,12/12/2025,002
P0000RL10M,-7,12/12/2025,002
P0000RP6RQ,1249,11/12/2025,002
P0000RPQBT,231,12/12/2025,002
P0000RXO4Y,10,11/12/2025,002
P0000S6NAL,11,11/12/2025,002
P0000SFM53,152,11/12/2025,002
P0000SFUGG,37,11/12/2025,002
P0000SG2LL,153,11/12/2025,002
P0000SOG24,79,12/12/2025,002
P0000SVV8E,-3,11/12/2025,002
