Data,IdProduto,Quantidade,CodEmpresa
11/12/2025,P00002OY1J,1032,002
11/12/2025,P00002GD15,3749,002
11/12/2025,P00003MMIT,-2,002
11/12/2025,P00003B64K,253,002
11/12/2025,P00003H760,372,002
11/12/2025,P0000WGIR6,54053,002
11/12/2025,P0001EFH5F,14,002
11/12/2025,P0001F5F73,7,002
11/12/2025,P00002XQ8W,2701,002
11/12/2025,P00003L77A,-105,002
11/12/2025,P00003L13Y,-72,002
11/12/2025,P0000WG3JA,130944,002
11/12/2025,P00004ZV0N,9597,002
11/12/2025,P0000DGSHQ,44,002
11/12/2025,P00004GVJ8,385,002
11/12/2025,P0000WIK1B,42018,002
11/12/2025,P00002H72U,680,002
11/12/2025,P00003DY4B,19978,002
11/12/2025,P0000WHOAJ,23988,002
11/12/2025,P0000TZX19,103,002
11/12/2025,P0001EL043,62,002
11/12/2025,P000031B69,396,002
11/12/2025,P000031E4Q,362,002
11/12/2025,P0001EK01B,19,002
11/12/2025,P0001F6717,28,002
11/12/2025,P00014IT1B,127,002
11/12/2025,P0000RP6RQ,1249,002
11/12/2025,P00003S5BO,32,002
11/12/2025,P0000QOBL4,60,002
11/12/2025,P00004Y42Q,124,002
11/12/2025,P0000WIO5K,7383,002
11/12/2025,P0000SOG24,80,002
11/12/2025,P00002ES00,890,002
11/12/2025,P00002EWCU,2655,002
11/12/2025,P000044LCE,749,002
11/12/2025,P0000WIC15,28468,002
11/12/2025,P0000WH1JJ,88470,002
11/12/2025,P0000WFOQB,90659,002
11/12/2025,P0000E9D3Z,1,002
11/12/2025,P00012RZ6I,-1115,002
11/12/2025,P00002LY3G,5390,002
11/12/2025,P00003HM81,430,002
11/12/2025,P0000RL10M,-6,002
11/12/2025,P0000S6NAL,11,002
11/12/2025,P0000SVV8E,-3,002
11/12/2025,P000048MQ1,2,002
11/12/2025,P00005FY7W,122,002
11/12/2025,P00003IP8V,30,002
11/12/2025,P00004KPH0,1,002
11/12/2025,P0000LHREB,121,002
11/12/2025,P00003I7B8,228,002
11/12/2025,P0000TZ5DD,194,002
11/12/2025,P0000WI85M,9395,002
11/12/2025,P00004OFDQ,4,002
11/12/2025,P000050VCM,569,002
11/12/2025,P00005974O,314,002
11/12/2025,P0000RXO4Y,10,002
11/12/2025,P00002Q729,1705,002
11/12/2025,P00003H45C,522,002
11/12/2025,P0000VQYTE,35,002
11/12/2025,P00004G7M7,59,002
11/12/2025,P00003MDAN,149,002
11/12/2025,P00004PR7B,11,002
11/12/2025,P00004PC2F,21,002
11/12/2025,P00002MPIB,78,002
11/12/2025,P00003M74Y,153,002
11/12/2025,P00003MA4R,46,002
11/12/2025,P0001EIF1X,51,002
11/12/2025,P0000WH80I,52720,002
11/12/2025,P0000CZL3U,1207,002
11/12/2025,P0000WHR7X,15831,002
11/12/2025,P0000SFM53,152,002
11/12/2025,P0000E2IPV,-18,002
11/12/2025,P00003HPAP,532,002
11/12/2025,P00002Y51M,20914,002
11/12/2025,P0000E327H,48,002
11/12/2025,P0000WGV09,91068,002
11/12/2025,P0000XXDJ8,71,002
11/12/2025,P0001EEUI1,434,002
11/12/2025,P00003HJ63,72,002
11/12/2025,P0000SFUGG,37,002
11/12/2025,P00002XN2I,1210,002
11/12/2025,P00003THAJ,47,002
11/12/2025,P00003H10D,157,002
11/12/2025,P0000AM44B,72,002
11/12/2025,P00002P7NG,1186,002
11/12/2025,P0000380E1,101,002
11/12/2025,P00002OD04,442,002
11/12/2025,P000033500,87,002
11/12/2025,P00002Q496,945,002
11/12/2025,P00003G4GS,714,002
11/12/2025,P00003REEI,-18,002
11/12/2025,P00003O4BD,175,002
11/12/2025,P000137V13,160,002
11/12/2025,P0000E109M,93,002
11/12/2025,P00002GA5L,2731,002
11/12/2025,P0000DH8BF,-135,002
11/12/2025,P0001EJO8L,7,002
11/12/2025,P0001EIQ61,46,002
11/12/2025,P0000D9U6X,669.999743,002
11/12/2025,P0001FHZ24,8,002
11/12/2025,P00004915F,32,002
11/12/2025,P00005FSM1,301,002
11/12/2025,P00003MG4I,306,002
11/12/2025,P00003R8DU,188,002
11/12/2025,P000032BCC,24,002
11/12/2025,P000158M18,-18,002
11/12/2025,P0000O3A68,13,002
11/12/2025,P0000D6O2J,424,002
11/12/2025,P00003NV07,43.39,002
