;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;MADEPINUS;;;
;;;;;Tabela de Preços - Com Estoque;;;;;;;;Emissão:;12/12/2025 10:57;;;;
;;;;;;;;;;;;;;;;Página;1;
;;;;;;;;;;;;;;;;;;
Código;;;;Produto;;;;;;;;;;Qt. Est.;;Preço;;
;;;;;;;;;;;;;;;;;;
000007;;SUPORTE L METAL P/FIXACAO RIGIDO;;;;;;;;;;;;860;;1,22;;
000008;;CAPA P/SUPORTE L FIXA BRANCO;;;;;;;;;;;;2.645;;0,39;;
000009;;CAPA SUPORTE L FIXA MARROM ESV;;;;;;;;;;;;393;;0,39;;
000010;;CAPA SUPORTE L FIXA PRETO;;;;;;;;;;;;396;;0,39;;
000012;;CANTONEIRA PROTECAO REGULAVEL 32X56MM FECHADA;;;;;;;;;;;;262;;0,56;;
000013;;CANTONEIRA PROTECAO DE MOVEIS 18MM FECHADA;;;;;;;;;;;;261;;0,44;;
000025;;DOBRADICA 35MM CURVA;;;;;;;;;;;;2.725;;2,78;;
000026;;DOBRADICA 35MM RETA;;;;;;;;;;;;3.746;;2,78;;
000027;;CORREDICA 300MM BRANCA;;;;;;;;;;;;45;;13,33;;
000030;;CORREDICA 450MM BRANCA;;;;;;;;;;;;124;;15,56;;
000036;;PISTAO 100N;;;;;;;;;;;;680;;12,22;;
000037;;PISTAO 80N;;;;;;;;;;;;-17;;12,22;;
000047;;BUCHA PLASTICA N8;;;;;;;;;;;;2.675;;0,17;;
000069;;CAPA 09MM;;;;;;;;;;;;0;;44,45;;
000073;;DISPOSITIVO VB 19MM;;;;;;;;;;;;0;;1,54;;
000076;;CAPA 15MM;;;;;;;;;;;;-422;;222,23;;
000077;;CAPA 18MM;;;;;;;;;;;;-47;;83,34;;
000078;;CAPA 25MM;;;;;;;;;;;;-68;;166,67;;
000102;;RODIZIO SILICONE 50MM S/TV;;;;;;;;;;;;5.390;;9,11;;
000103;;RODIZIO SILICONE 50MM C/TV;;;;;;;;;;;;1.842;;10,00;;
000111;;SISTEMA D-52;;;;;;;;;;;;76;;41,67;;
000114;;PASSA FIO 60 CIZA CRISTAL;;;;;;;;;;;;394;;2,22;;
000115;;PASSA FIO 60 BEGE;;;;;;;;;;;;713;;2,22;;
000116;;PASSA FIO 60 PRETO;;;;;;;;;;;;528;;2,22;;
000117;;PASSA FIO 60 MARRON;;;;;;;;;;;;499;;2,22;;
000118;;PASSA FIO 60 BRANCO;;;;;;;;;;;;1.038;;2,22;;
000119;;CANTONEIRA PROTECAO DE MOVEIS 15MM;;;;;;;;;;;;-58;;0,33;;
000130;;PISTAO 50N;;;;;;;;;;;;12;;12,22;;
000131;;PISTAO 60N INVERSO;;;;;;;;;;;;28;;14,45;;
000132;;PISTAO 80N INVERSO;;;;;;;;;;;;442;;14,45;;
000133;;BROCA VIDEA 6,5MM;;;;;;;;;;;;74;;6,22;;
000134;;BROCA VIDEA 8MM;;;;;;;;;;;;108;;8,67;;
000135;;BROCA VIDEA 9,5MM;;;;;;;;;;;;64;;11,11;;
000139;;BROCA ACO RAPIDO 7/64;;;;;;;;;;;;1.032;;3,89;;
000142;;DOBRADICA 35MM SUPER CURVA;;;;;;;;;;;;1.182;;2,78;;
000143;;CAPA 12MM;;;;;;;;;;;;-454;;139,73;;
000152;;SAPATA REGULADOR 1/4 C/ BUCHA;;;;;;;;;;;;1.981;;2,22;;
000153;;SAPATA REGULADOR 3/8 C/ BUCHA;;;;;;;;;;;;945;;2,78;;
000154;;SAPATA PEQ C/ PREGO;;;;;;;;;;;;1.705;;1,67;;
000155;;SAPATA GDE C/ PREGO;;;;;;;;;;;;907;;2,22;;
000160;;PREGO 1X18 C/ABECA;;;;;;;;;;;;-7;;44,45;;
000161;;CANTONEIRA 40CM;;;;;;;;;;;;87;;23,34;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;MADEPINUS;;;
;;;;;Tabela de Preços - Com Estoque;;;;;;;;Emissão:;12/12/2025 10:57;;;;
;;;;;;;;;;;;;;;;Página;2;
;;;;;;;;;;;;;;;;;;
Código;;;;Produto;;;;;;;;;;Qt. Est.;;Preço;;
;;;;;;;;;;;;;;;;;;
000162;;BATENTE L;;;;;;;;;;;;531;;0,67;;
000179;;FECHO ROLETE;;;;;;;;;;;;543;;5,56;;
000180;;SERRA MANUAL PARA ARCO;;;;;;;;;;;;165;;10,56;;
000185;;FECHADURA CILINDRO DE PRESSÃO;;;;;;;;;;;;571;;16,11;;
000187;;FERROLHO BAIXO;;;;;;;;;;;;28;;4,57;;
000188;;FERROLHO ALTO;;;;;;;;;;;;208;;2,78;;
000190;;LAMINA PARA ESTILETE 18MM;;;;;;;;;;;;361;;11,11;;
000201;;CAPA 06MM;;;;;;;;;;;;0;;38,89;;
000243;;DOBRADICA PISTAO RETA 35MM;;;;;;;;;;;;1.210;;4,45;;
000244;;DOBRADICA PISTAO CURVA 35MM;;;;;;;;;;;;2.701;;4,45;;
